# Word,Type,Topic,Rating,Note
emojii__slight_smile,noun,,good,
.*cocktail,noun,food,,
.*cola,noun,food,,
.*essig,noun,food,,
.*käse,noun,food,,
.*kuchen,noun,food,,
.*terasse,noun,ambience,,
.*trockner,noun,ambience,,
.*wurst,noun,food,,
Alleinstellungsmerkmal,noun,,very_good,
Ambiente,noun,ambience,,
aperol.*,noun,food,,
ausgezeichnet,adjective,,very_good,
Barista,noun,service,,
Barkeeper,noun,service,,
Beleuchtung,noun,ambience,,
Belüftung,noun,ambience,,
bemühen,verb,,somewhat_good,
bequem,adjective,ambience,good,
Beschwerde,noun,service,bad,
beschweren,verb,service,bad,
besonders,modifier,,good,
bestens,adjective,,very_good,
Bier,noun,food,,
Billard,noun,ambience,,
billig,adjective,,,Can be both good and bad
Bratwurst,noun,food,,
Buffet,noun,food,,
Buschenschank,noun,ambience,,
Chef.*,noun,service,,
effektiv,adjective,,good,
effizient,adjective,,good,
eher,modifier,,somewhat_bad,
exzellent,adjective,,very_good,
fantastisch,adjective,,very_good,
fehlen,verb,,bad,
freundlich,adjective,service,good,
furchtbar,adjective,,very_bad,
fürchterlich,adjective,,very_bad,
gemütlich,adjective,ambience,good,
günstig,adjective,value,good,
gut,adjective,,good,
hilfsbereit,adjective,service,good,
höflich,adjective,service,good,
Hygiene,noun,hygiene,,
Kaffee,noun,food,,
Kakao,noun,food,,
kalt,adjective,,,
kein,negator,,,
keine,negator,,,
keiner,negator,,,
keines,negator,,,
Kellner,noun,service,,
kinderfreundlich,adjective,service,good,
klo.*,noun,hygiene,,
kompetent,adjective,service,good,
Kukuruz,noun,food,,
laut,adjective,ambience,,
Lautstärke,noun,ambience,,
lecker,adjective,food,good,
leise,adjective,ambience,,
Licht,noun,ambience,,
mehlig,noun,food,somewhat_bad,
mühsam,adjective,,somewhat_bad,
Nachspeise,noun,food,,
nett,adjective,,good,
nicht,negator,,,
ok,adjective,,somewhat_good,
okay,adjective,,somewhat_good,
Playlist,noun,ambience,,
reklamieren,verb,service,bad,
Reservierung,noun,service,,
rücksichtslos,adjective,service,bad,
rücksichtsvoll,adjective,service,good,
sauber,adjective,hygiene,good,
schön,adjective,,good,
Service,noun,service,,
sollen,verb,,somewhat_bad,
Speisekarte,noun,food,,
stinken,verb,,bad,
super,adjective,,very_good,
teuer,adjective,value,bad,
toilett.*,noun,hygiene,,
toll,adjective,,good,
Tomate,noun,food,,
top,adjective,,very_good,
vegan.*,noun,food,,
vegetar.*,noun,food,,
verdorben,adjective,,very_bad,
verfault,adjective,,very_bad,
verschimmelt,adjective,,very_bad,
Vogerlsalat,noun,food,,
vorzüglich,adjective,,very_good,
wär,verb,,somewhat_bad,at
wäre,verb,,somewhat_bad,
wären,verb,,somewhat_bad,
warn,verb,,somewhat_bad,at
wärn,verb,,somewhat_bad,at
Wartezeit,noun,service,,
WC,noun,hygiene,,
WLAN,noun,ambience,,
Würze,noun,food,,
würzen,verb,food,,
zu,modifier,,bad,
